Period,Data_value
1996.12,899
1997.03,884
1997.06,925
1997.09,932
1997.12,929
1998.03,940
1998.06,956
1998.09,958
1998.12,970
1999.03,1000
1999.06,1000
1999.09,1000
1999.12,1000
2000.03,949
2000.06,953
2000.09,964
2000.12,970
2001.03,970
2001.06,936
2001.09,936
2001.12,961
2002.03,962
2002.06,928
2002.09,928
2002.12,965
2003.03,969
2003.06,970
2003.09,970
2003.12,970
2004.03,970
2004.06,970
2004.09,972
2004.12,952
2005.03,955
2005.06,955
2005.09,931
2005.12,931
2006.03,980
2006.06,969
2006.09,969
2006.12,1006
2007.03,1007
2007.06,1008
2007.09,1142
2007.12,1197
2008.03,1056
2008.06,1056
2008.09,1056
2008.12,1095
2009.03,1124
2009.06,1124
2009.09,1120
2009.12,1116
2010.03,1118
2010.06,1120
2010.09,1120
2010.12,1135
2011.03,1147
2011.06,1144
2011.09,1166
2011.12,1167
2012.03,1169
2012.06,1169
2012.09,1172
2012.12,1172
2013.03,1183
2013.06,1185
2013.09,1192
2013.12,1179
2014.03,1212
2014.06,1212
2014.09,1215
2014.12,1213
2015.03,1219
2015.06,1219
2015.09,1239
2015.12,1241
2016.03,1249
2016.06,1271
2016.09,1271
2016.12,1271
2017.03,1279
2017.06,1306
2017.09,1306
2017.12,1306
2018.03,1309
2018.06,1323
2018.09,1257
2018.12,1259
2019.03,1266
2019.06,1271
2019.09,1282
2019.12,1276
2020.03,1284
2020.06,1290
2020.09,1289
2020.12,1338
